UID	Country	City	Place name	Official place	Place number	Free bikes	Total bikes	Place type	Comment	Setpoint bikes	Bike racks	Show in customer map	Battery voltage	Solar voltage	Location marking	Online	Time stamp	Creation date
"266171"	"OVO Bikes Glasgow"	"Glasgow"	"University of Glasgow (East) - ELECTRIC"	"1"	"8435"	"1"	"2"	"E-bike station"	"54443,54422,54507,54499,54433,54512,54483,54447 03.06.23 17:38:52:  03.06.23 17:38:52: Terminal Offline 25.07.23 16:06:36:  25.07.23 16:06:36: Rack Problem 11.08.23 13:09:00:  11.08.23 13:09:00: Rack Problem 19.10.23 1:33:23:  19.10.23 1:33:23: Rack Problem"	"5"	"5"	"1"	"13,87"	"0,00"	"smart_sign"	"1"	2023-11-26 04:05	
"105741829"	"OVO Bikes Glasgow"	"Glasgow"	"Scotstoun South"	"1"	"8311"	"18"	"19"	"Standard place"	""	"6"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-26 04:05	
"264304"	"OVO Bikes Glasgow"	"Glasgow"	"Kelvingrove Art Gallery - ELECTRIC"	"1"	"8420"	"4"	"4"	"E-bike station"	"54518,54476,54404,54543    2023-11-20 17:18 Station defect, there are kickstands missing from the station. -LMJ  12.08.23 8:38:18:   12.08.23 8:38:18: Rack Problem"	"8"	"6"	"1"	"13,88"	"0,00"	"smart_sign"	"1"	2023-11-26 03:40	
"6269626"	"OVO Bikes Glasgow"	"Glasgow"	"Woodside (North) - ELECTRIC"	"1"	"8465"	"2"	"2"	"E-bike station"	"54537,54519,54397,54514   04.08.23 12:47:23:  04.08.23 12:47:23: Terminal Offline 06.09.23 15:00:45:  06.09.23 15:00:45: Terminal Offline 11.10.23 13:05:34:  11.10.23 13:05:34: Terminal Offline"	"8"	"8"	"1"	"13,88"	"0,00"	"smart_sign"	"1"	2023-11-26 03:20	
"349450"	"OVO Bikes Glasgow"	"Glasgow"	"Bellgrove Railway Station (North) - ELECTRIC "	"1"	"8439"	"5"	"6"	"E-bike station"	"54550,54584,54435,54598 18.05.23 17:54:59:  18.05.23 17:54:59: Terminal Offline 21.05.23 14:41:25:  21.05.23 14:41:25: Rack Problem 03.07.23 9:18:08:  03.07.23 9:18:08: Rack Problem 14.09.23 11:35:19:  14.09.23 11:35:19: Rack Problem"	"6"	"6"	"1"	"13,58"	"0,00"	"smart_sign"	"1"	2023-11-26 03:19	
"28521431"	"OVO Bikes Glasgow"	"Glasgow"	"The Round Toll"	"1"	"8218"	"0"	"0"	"Standard place"	""	"5"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 02:56	
"320172649"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46938"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 02:42	
"733236"	"OVO Bikes Glasgow"	"Glasgow"	"Gartnavel General Hospital"	"1"	"8449"	"4"	"4"	"Standard place"	""	"8"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-26 02:29	
"6269637"	"OVO Bikes Glasgow"	"Glasgow"	"Alexandra Parade (West) - ELECTRIC"	"1"	"8468"	"2"	"2"	"E-bike station"	"54554,54567,54587,53606       26.07.23 10:21:12:  26.07.23 10:21:12: Rack Problem"	"12"	"8"	"1"	"12,37"	"0,00"	"smart_sign"	"1"	2023-11-26 02:20	
"264308"	"OVO Bikes Glasgow"	"Glasgow"	"Mitchell Library"	"1"	"8425"	"0"	"0"	"Standard place"	" 05.10.23 23:25:25:  05.10.23 23:25:25: Vandalism"	"8"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-26 02:15	
"28521547"	"OVO Bikes Glasgow"	"Glasgow"	"King Street South"	"1"	"8230"	"11"	"12"	"Standard place"	""	"6"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 01:49	
"6269636"	"OVO Bikes Glasgow"	"Glasgow"	"Mount Florida Railway Station"	"1"	"8467"	"5"	"5"	"E-bike station"	"26.07.23 15:51:23:   26.07.23 15:51:23: Rack Problem"	"6"	"4"	"1"	""	""	"smart_sign"	"0"	2023-11-26 01:47	
